,subclass,details
333,13124," Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
334,13129," Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
335,13131, Finishing of cotton and blended cotton textiles.
336,13132, Finishing of silk and blended silk textiles.
337,13133, Finishing of wool and blended wool textiles.
338,13134, Finishing of man-made and blended man-made textiles.
339,13135," Finishing of jute, mesta and other vegetable textiles fabrics"
340,13136, Activity related to screen printing
341,13139, Other activities relating to finishing of textile n.e.c.
342,13911, Manufacture of knitted and crocheted cotton fabrics
343,13912, Manufacture of knitted and crocheted woolen fabrics
344,13913, Manufacture of knitted and crocheted synthetic fabrics
345,13919, Manufacture of other knitted and crocheted fabrics
346,13921," Manufacture of curtains, bed covers and furnishings"
347,13922, Manufacture of crocheted made up textile goods except apparel
348,13923, Manufacture of mosquito nets
349,13924," Manufacture of bedding, quilts pillows, sleeping bags etc."
350,13925, Manufacture of tarpaulin
351,13926, Manufacture of blankets
352,13929," Manufacture of other made-up textile articles, except apparel n.e.c."
353,13931, Manufacture of carpets and other floor coverings made of cotton
354,13932, Manufacture of carpets and other floor coverings made of wool
355,13933, Manufacture of carpets and other floor coverings made of silk
356,13934, Manufacture of carpets made of synthetic materials
357,13935," Manufacture of carpets, and other floor coverings made of jute, mesta and coir"
358,13939, Manufacture of other floor coverings n.e.c.
359,13941," Manufacture of thread, including thread ball making"
360,13942, Manufacture of cordage or rope made of jute
361,13943, Manufacture of cordage or rope made of coir
362,13944, Manufacture of rope and cordage made of synthetic material
363,13945," Manufacture of knotted netting of twine, cordage orrope (other than mosquito net)"
364,13946," Manufacture of tapes, newar and wicks"
365,13949, Manufacture of other cordage or rope n.e.c.
366,13991, Embroidery work and making of laces and fringes
367,13992, Zari work and other ornamental trimmings
368,13993, Manufacture of linolium and similar products
369,13994, Manufacture of gas mantles
370,13995," Manufacture of made-up canvas goods such tents, sails etc."
371,13996, Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons
372,13997," Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
373,13998, Manufacture of waterproof textile excluding tarpulin
374,13999, Manufacture of other textiles/textile products n.e.c.
375,14101, Manufacture of all types of textile garments and clothing accessories
376,14102, Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
377,14103," Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
378,14104, Manufacture of wearing apparel made of leather and substitutes of leather
379,14105, Custom tailoring
380,14109, Manufacture of wearing apparel n.e.c.
381,14201, Manufacture of wearing apparel and clothing accessories made of fur
382,14202, Manufacture of fur and skin rugs and other similar articles
383,14209, Manufacture of other fur products n.e.c.
384,14301," Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
385,14309, Manufacture of other knitted and crocheted apparel including hosiery
386,15111, Flaying and curing of raw hides and skins
387,15112, Tanning and finishing of sole leather
388,15113, Tanning and finishing of industrial leather
389,15114," Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
390,15115," Finishing of upper leather, lining leather and garment leather etc."
391,15116, Embroidering and embossing of leather articles
392,15119," Other tanning, curing, finishing, embossing etc. of leather"
393,15121," Manufacture of travel goods like suitcase, bags, holdalls etc."
394,15122," Manufacture of purse, ladiesâ€™ handbags, artistic leather presented articles and novelties"
395,15123, Manufacture of saddlery and harness
396,15129, Manufacture of other consumer goods of leather and substitutes of leather n.e.c.
397,15201," Manufacture of leather footwear such as shoes, sandals, chappals, leather- cum-rubber/plastic cloth sandles and chappals"
398,15202, Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
399,15209, Manufacture of other footwear n.e.c.
400,16101, Sawing and planing of wood
401,16102, Manufacture of unassembled wooden flooring including parquet flooring
402,16103, Manufacture of wooden railway sleepers
403,16109, Activities related to saw milling and planing of wood n.e.c.
404,16211, Manufacture of ply wood and veneer sheets
405,16212, Manufacture of particle board and fibreboard including densified wood
406,16213, Manufacture of flush doors and other boards or panels
407,16219, Manufacture of other plywood products n.e.c.
408,16221," Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
409,16222," Manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
410,16229, Manufacture of buildersâ€™ carpentry and joinery n.e.c.
411,16231," Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
412,16232, Manufacture of plywood chests
413,16233," Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
414,16239," Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c."
